name,type,avg_cost,open_hour,weather,short_description,country,state,city,lat,lng,travel_type,travel_options
Lalbagh Botanical Garden,park,100,9,sunny,Historic botanical garden,India,Karnataka,Bengaluru,12.9507,77.5848,family,"bus,cab,metro"
Cubbon Park,park,50,6,sunny,Large green space in center,India,Karnataka,Bengaluru,12.9763,77.5929,friends,"bus,metro"
Bannerghatta National Park,park,300,9,sunny,Wildlife safari and zoo,India,Karnataka,Bengaluru,12.8000,77.5770,family,"bus,cab"
ISKCON Temple,temple,0,6,any,Spiritual temple and prasadam,India,Karnataka,Bengaluru,13.0105,77.5510,family,"bus,metro,cab"
MG Road,shopping,500,10,sunny,Shopping & nightlife street,India,Karnataka,Bengaluru,12.9732,77.6190,friends,"metro,cab"
Commercial Street,shopping,600 ,10,sunny,Popular shopping for clothes & accessories,India,Karnataka,Bengaluru,12.9830,77.6051,friends,"bus,metro"
Lumbini Gardens,park,200,9,cloudy,Waterfront amusement & boating,India,Karnataka,Bengaluru,13.0285,77.6276,family,"bus,cab"
Vidhana Soudha,viewpoint,0,9,sunny,Assembly building architecture,India,Karnataka,Bengaluru,12.9796,77.5910,family,"bus,metro,cab"
Wonderla Amusement Park,amusement,1200 ,11,sunny,Roller coasters & waterpark,India,Karnataka,Bengaluru,12.8344,77.4016,friends,"bus,cab"
Lalitha Mahal Palace,viewpoint,100,9,sunny,Historic architectural hotel palace,India,Karnataka,Mysore,12.2958,76.6394,family,"bus,cab"
Mysore Palace,viewpoint,100,10,sunny,Grand royal palace with lighting show,India,Karnataka,Mysore,12.3052,76.6552,family,"bus,cab"
Brindavan Gardens,park,150,18,sunny,Musical fountain garden,India,Karnataka,Mysore,12.4212,76.5730,family,"bus,cab"
St. Philomena’s Cathedral,temple,0 ,8,any,Neo-gothic historic church,India,Karnataka,Mysore,12.3173,76.6600,family,"bus,cab"
Panambur Beach,viewpoint,50,9,cloudy,Most visited beach in Mangalore,India,Karnataka,Mangalore,12.9543,74.7924,friends,"bus,cab"
